    10    4   9  5.6660 0.9276      2     5     3.6550   0.6663   3.4496 0.3929   5.0451 0.3572
    13    4  11  6.4760 1.0166      2     7     4.6090   0.7925   3.8766 0.4382   5.5283 0.4069
    16    5  11  6.9840 1.0815      3     8     5.6690   0.8351   4.1732 0.4582   5.8689 0.4313
    20    5  12  7.7730 1.2106      4    10     7.0200   0.9755   4.5858 0.5130   6.3198 0.4886
    25    6  14  8.4380 1.2273      6    12     8.6610   1.0909   4.9137 0.4921   6.6862 0.4731
    32    6  18  9.3130 1.3293      7    15    10.9980   1.2075   5.3568 0.5149   7.1642 0.4993
    40    7  15 10.0490 1.3866     10    18    13.7370   1.3667   5.7827 0.5531   7.6172 0.5396
    50    8  17 10.8290 1.4669     12    22    16.9810   1.5280   6.1656 0.5472   8.0251 0.5365
    63    8  17 11.6550 1.4415     16    26    21.2870   1.7374   6.6122 0.5616   8.4932 0.5528
    79    9  19 12.4280 1.5234     20    32    26.6840   1.9251   7.0242 0.5741   8.9239 0.5669
   100   10  19 13.2690 1.5462     26    40    33.6090   2.0890   7.4765 0.5943   9.3926 0.5884
   126   10  21 14.0990 1.6520     34    50    42.4260   2.4001   7.9116 0.6199   9.8414 0.6150
   158   11  24 14.8660 1.6613     45    61    52.8920   2.6496   8.3390 0.6266  10.2803 0.6227
   200   12  22 15.9220 1.7105     56    75    66.9240   3.0173   8.8078 0.6067  10.7590 0.6037
   251   13  26 16.7430 1.7723     73    94    83.8800   3.4845   9.2634 0.6333  11.2226 0.6308
   316   14  26 17.4770 1.8252     94   118   105.4940   3.8108   9.7014 0.6461  11.6677 0.6441
   398   14  26 18.3540 1.8299    119   147   133.0570   4.2128  10.1573 0.6345  12.1293 0.6329
   501   15  27 19.4450 1.9050    151   184   167.4320   4.6257  10.6527 0.6454  12.6295 0.6441
   631   16  28 20.2120 1.8818    195   227   210.6580   5.2072  11.0874 0.6595  13.0683 0.6584
   794   17  28 21.1270 1.8727    245   283   265.0850   5.7329  11.5475 0.6390  13.5317 0.6382
  1000   18  28 22.0320 1.9321    314   352   333.4960   6.7206  11.9567 0.6155  13.9437 0.6149
  1259   18  30 22.9100 1.9854    390   443   420.3390   7.2932  12.4196 0.6390  14.4090 0.6385
  1585   19  32 23.9210 1.9034    504   556   529.2560   8.6191  12.9113 0.6535  14.9025 0.6531
  1995   20  34 24.7630 1.9972    635   702   665.1490   9.3587  13.3573 0.6293  15.3501 0.6290
  2512   21  35 25.6390 2.0007    801   870   837.5910  10.2995  13.8255 0.6370  15.8196 0.6368
  3162   22  34 26.6500 1.9818   1012  1093  1054.6180  11.2465  14.2711 0.6357  16.2663 0.6355
  3981   23  36 27.4670 2.0719   1275  1364  1327.6370  13.0179  14.7190 0.6509  16.7151 0.6507
  5012   23  36 28.4960 2.1133   1622  1716  1671.1720  14.4025  15.2136 0.6837  17.2104 0.6836
  6310   25  37 29.4380 2.0504   2049  2156  2103.9750  16.5256  15.6602 0.6573  17.6576 0.6572
  7943   25  40 30.3810 2.1568   2580  2708  2647.0270  19.0916  16.1093 0.6480  18.1071 0.6479
 10000   26  41 31.2600 2.0848   3264  3395  3333.4050  21.0672  16.5935 0.6298  18.5917 0.6298
